Afghanistan,77.98
Albania,100.0
Algeria,0.95
Amer Samoa,3.05
Andorra,94.06
Angola,76.3
Anguilla,3.48
Antigua Barb,6.51
Argentina,29.18
Armenia,36.69
Aruba,15.9
Australia,30.67
Austria,72.85
Azerbaijan,6.7
BES Islands,22.96
Bahamas,1.19
Bahrain,0.25
Bangladesh,1.7
Barbados,8.4
Belarus,3.24
Belgium,25.47
Belize,89.71
Benin,0.85
Bhutan,100.0
Bolivia,36.54
Bosnia and Herz.,32.04
Botswana,0.23
Br Virgin Is,2.32
Brazil,87.71
Brunei Darsm,0.03
Bulgaria,19.09
Burkina Faso,23.79
Burundi,50.27
Cabo Verde,27.24
Cambodia,65.76
Cameroon,76.78
Canada,68.98
Cayman Is,2.99
Central African Rep.,96.47
Chad,5.81
Chile,55.42
China HK SAR,0.92
China,29.66
Taiwan,7.64
Colombia,74.36
Comoros,0.1
Congo,99.96
Dem. Rep. Congo,40.67
Cook Is,19.14
Costa Rica,99.28
C̫te d'Ivoire,19.14
Croatia,62.94
Cuba,4.94
Curacao,22.44
Cyprus,16.78
Czech Rep.,12.69
Denmark,81.18
Djibouti,35.71
Dominica,23.17
Dominican Rep.,17.82
Ecuador,76.11
Egypt,12.23
El Salvador,78.3
Eq Guinea,11.94
Eritrea,11.59
Estonia,31.96
Eswatini,98.67
Ethiopia,100.0
Falklands Malv,24.3
Faroe Islands,52.21
Fiji,58.31
Finland,53.54
Fr Guiana,71.15
Fr Polynesia,35.69
France,23.97
Gabon,53.92
Gambia,0.82
Georgia,79.54
Germany,43.27
Ghana,35.88
Greece,42.62
Greenland,77.91
Grenada,1.74
Guadeloupe,34.82
Guam,8.29
Guatemala,79.09
Guinea-Bissau,10.52
Guinea,90.64
Guyana,7.57
Haiti,19.52
Honduras,59.49
Hungary,21.42
Iceland,99.99
India,19.49
Indonesia,19.6
Iran,4.19
Iraq,2.56
Ireland,38.61
Israel,8.56
Italy,35.38
Jamaica,12.01
Japan,21.48
Jordan,24.01
Kazakhstan,11.74
Kenya,85.85
Kiribati,16.68
Korea,63.09
Dem. Rep. Korea,7.4
Kosovo,8.98
Kuwait,2.28
Kyrgyzstan,85.93
Lao PDR,76.62
Latvia,75.7
Lebanon,8.68
Lesotho,99.83
Liberia,34.81
Libya,0.03
Lithuania,63.29
Luxembourg,45.19
Madagascar,45.82
Malawi,79.05
Malaysia,17.86
Maldives,5.48
Mali,60.98
Malta,12.95
Marshall Is,2.91
Martinique,26.55
Mauritania,16.38
Mauritius,19.27
Mayotte,12.08
Mexico,22.25
Micronesia,4.84
Moldova Rep,12.41
Mongolia,4.86
Montenegro,53.33
Montserrat,11.9
Morocco,17.44
Mozambique,84.06
Myanmar,48.48
Namibia,92.09
Nauru,8.82
Nepal,100.0
Netherlands,39.66
New Caledon,25.72
New Zealand,86.57
Nicaragua,65.68
Niger,3.82
Nigeria,27.16
Niue,10.49
Macedonia,26.9
Norway,97.77
Oman,3.99
Pakistan,30.15
Palau,5.9
Palestine,24.73
Panama,80.08
Papua New Guinea,28.78
Paraguay,100.0
Peru,55.73
Philippines,21.62
Poland,20.98
Portugal,56.56
Puerto Rico,5.6
Qatar,0.26
Reunion,34.24
Romania,42.16
Russia,17.92
Rwanda,52.84
Samoa,32.74
Sao Tome Prn,5.88
Saudi Arabia,0.69
Senegal,16.46
Serbia,28.07
Seychelles,5.71
Sierra Leone,95.78
Singapore,3.01
Slovakia,21.69
Slovenia,29.89
Solomon Is,9.24
Somalia,17.52
South Africa,5.4
South Georgia,100.0
S. Sudan,0.81
Spain,42.04
Sri Lanka,50.34
St Barth,0.06
St Kitts Nevis,4.39
St Lucia,2.0
St Martin,0.94
St Vincent Gren,15.02
Sudan,61.02
Suriname,53.85
Sweden,68.27
Switzerland,54.8
Syria,5.22
Tajikistan,92.81
Tanzania,33.83
Thailand,19.95
Timor Leste,0.12
Togo,14.51
Tokelau,94.16
Tonga,10.09
Trinidad Tobago,0.07
Tunisia,4.09
Turkmenistan,0.01
Turks Caicos,1.93
Tuvalu,15.28
Turkey,41.97
United Kingdom,41.73
US Virgin Is,2.64
Uganda,99.72
Ukraine,16.47
United Arab Emirates,4.97
United States,21.34
Uruguay,90.15
Uzbekistan,9.34
Vanuatu,22.7
Venezuela,77.41
Vietnam,52.02
Yemen,17.26
Zambia,88.91
Zimbabwe,50.18